#Sample file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01915-01936_154_7_av.dat
#Buffer file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01761-01782_154_buffer_1_av.dat
#q(1/A)          Column          Error           
0.0241641470    0.0156894942    0.0009794373    
0.0242956350    0.0151498864    0.0009721032    
0.0244271240    0.0152684244    0.0009692176    
0.0245586130    0.0149520117    0.0009609913    
0.0246901010    0.0150135736    0.0009725491    
0.0248215900    0.0152451352    0.0009635923    
0.0249530790    0.0147230072    0.0009542563    
0.0250845670    0.0146772857    0.0009535293    
0.0252160560    0.0147747282    0.0009470997    
0.0253475450    0.0147738468    0.0009556538    
0.0254790340    0.0148371715    0.0009459941    
0.0256105220    0.0143303414    0.0009348069    
0.0257420110    0.0144614164    0.0009371302    
0.0258735000    0.0144957608    0.0009331129    
0.0260049880    0.0143586971    0.0009373898    
0.0261364770    0.0142690143    0.0009318425    
0.0262679660    0.0137236057    0.0009210339    
0.0263994540    0.0141635553    0.0009279233    
0.0265309430    0.0136347765    0.0009173530    
0.0266624320    0.0140082872    0.0009234194    
0.0267939200    0.0138969224    0.0009154054    
0.0269254090    0.0135611247    0.0009100639    
0.0270568980    0.0137981252    0.0009139603    
0.0271883870    0.0137289238    0.0009016037    
0.0273198750    0.0134624521    0.0009094168    
0.0274513640    0.0135605819    0.0009029079    
0.0275828530    0.0132990145    0.0008969863    
0.0277143410    0.0133485736    0.0008962580    
0.0278458300    0.0129931260    0.0008886402    
0.0279773190    0.0133961041    0.0008913764    
0.0281088070    0.0130046620    0.0008836332    
0.0282402960    0.0128854918    0.0008819008    
0.0283717850    0.0125515196    0.0008807235    
0.0285032740    0.0126428316    0.0008779121    
0.0286347620    0.0127346414    0.0008753569    
0.0287662510    0.0129554459    0.0008779445    
0.0288977400    0.0128695767    0.0008671485    
0.0290292280    0.0124989890    0.0008716100    
0.0291607170    0.0122329725    0.0008681541    
0.0292922060    0.0125577622    0.0008656946    
0.0294236940    0.0128154000    0.0008700471    
0.0295551830    0.0124524007    0.0008519506    
0.0296866720    0.0124226701    0.0008581495    
0.0298181610    0.0123172934    0.0008571984    
0.0299496490    0.0122268994    0.0008499369    
0.0300811380    0.0122010949    0.0008509428    
0.0302126270    0.0122550134    0.0008445924    
0.0303441150    0.0120634964    0.0008441998    
0.0304756040    0.0118128391    0.0008475629    
0.0306070930    0.0118179535    0.0008405602    
0.0307385810    0.0114305929    0.0008391973    
0.0308700700    0.0112827427    0.0008310076    
0.0310015590    0.0116721959    0.0008292395    
0.0311330480    0.0118663569    0.0008370994    
0.0312645360    0.0116278085    0.0008279700    
0.0313960250    0.0114647277    0.0008293895    
0.0315275140    0.0111632850    0.0008247545    
0.0316590020    0.0114813708    0.0008216768    
0.0317904910    0.0112375353    0.0008229742    
0.0319219800    0.0108266832    0.0008156334    
0.0320534680    0.0111653392    0.0008195745    
0.0321849570    0.0110667436    0.0008121934    
0.0323164460    0.0110589959    0.0008076918    
0.0324479350    0.0107725615    0.0008140548    
0.0325794230    0.0107640678    0.0008066839    
0.0327109120    0.0109945184    0.0008072424    
0.0328424010    0.0109970633    0.0008027241    
0.0329738890    0.0101119648    0.0007970676    
0.0331053780    0.0105035845    0.0007996956    
0.0332368670    0.0108076373    0.0007935014    
0.0333683550    0.0105758776    0.0008073878    
0.0334998440    0.0104931076    0.0008071119    
0.0336313330    0.0100255390    0.0008050235    
0.0337628220    0.0103849938    0.0008148090    
0.0338943100    0.0102489090    0.0008119018    
0.0340257990    0.0098350105    0.0008126458    
0.0341572880    0.0098002410    0.0008101563    
0.0342887760    0.0096433418    0.0008107154    
0.0344202650    0.0100215466    0.0008189690    
0.0345517540    0.0098911739    0.0008090642    
0.0346832420    0.0101347901    0.0008134402    
0.0348147310    0.0097396820    0.0008090887    
0.0349462200    0.0098568592    0.0008119026    
0.0350777080    0.0095621388    0.0008171806    
0.0352091970    0.0093522602    0.0008117780    
0.0353406860    0.0092208339    0.0008069957    
0.0354721750    0.0091801073    0.0008233172    
0.0356036630    0.0093014217    0.0008263688    
0.0357351520    0.0095090572    0.0008371628    
0.0358666410    0.0088489860    0.0008363031    
0.0359981290    0.0090313874    0.0008320087    
0.0361296180    0.0087281461    0.0008362170    
0.0362611070    0.0090530151    0.0008318353    
0.0363925950    0.0091117009    0.0008425057    
0.0365240840    0.0085943010    0.0008406648    
0.0366555730    0.0086736334    0.0008337075    
0.0367870620    0.0087561740    0.0008427636    
0.0369185500    0.0086781996    0.0008381987    
0.0370500390    0.0089644985    0.0008444061    
0.0371815280    0.0082891858    0.0008383787    
0.0373130160    0.0082861664    0.0008395907    
0.0374445050    0.0083336187    0.0008428836    
0.0375759940    0.0083170476    0.0008390903    
0.0377074820    0.0079523476    0.0008492019    
0.0378389710    0.0086702799    0.0008517038    
0.0379704600    0.0081140220    0.0008416090    
0.0381019490    0.0078303887    0.0008482419    
0.0382334370    0.0083719178    0.0008407053    
0.0383649260    0.0081537406    0.0008326687    
0.0384964150    0.0078848479    0.0008296120    
0.0386279030    0.0077806366    0.0008192965    
0.0387593920    0.0075287627    0.0008231029    
0.0388908810    0.0078845909    0.0008149013    
0.0390223690    0.0078340688    0.0008166328    
0.0391538580    0.0077240983    0.0008125945    
0.0392853470    0.0077764317    0.0008078176    
0.0394168360    0.0078349458    0.0008137073    
0.0395483240    0.0073213793    0.0008057108    
0.0396798130    0.0076006478    0.0008038417    
0.0398113020    0.0073172740    0.0008067166    
0.0399427900    0.0071389951    0.0008031242    
0.0400742790    0.0074173695    0.0008056410    
0.0402057680    0.0072159145    0.0007996973    
0.0403372560    0.0071696325    0.0007967223    
0.0404687450    0.0065752515    0.0007966109    
0.0406002340    0.0070136264    0.0007952394    
0.0407317230    0.0069199130    0.0007970848    
0.0408632110    0.0069431190    0.0007956290    
0.0409947000    0.0065418338    0.0007875315    
0.0411261890    0.0071154123    0.0007924993    
0.0412576770    0.0064554563    0.0007866896    
0.0413891660    0.0062535436    0.0007864438    
0.0415206550    0.0067840453    0.0007875530    
0.0416521430    0.0064584332    0.0007851240    
0.0417836320    0.0067568854    0.0007866367    
0.0419151210    0.0067231211    0.0007843963    
0.0420466100    0.0062538172    0.0007839105    
0.0421780980    0.0062908940    0.0007799791    
0.0423095870    0.0060904748    0.0007773059    
0.0424410760    0.0070074798    0.0007762213    
0.0425725640    0.0067343342    0.0007783339    
0.0427040530    0.0063722855    0.0007726388    
0.0428355420    0.0062967818    0.0007769455    
0.0429670300    0.0063355088    0.0007741769    
0.0430985190    0.0063065057    0.0007764312    
0.0432300080    0.0062103891    0.0007746655    
0.0433614960    0.0061087371    0.0007644550    
0.0434929850    0.0058656204    0.0007731682    
0.0436244740    0.0055926626    0.0007671694    
0.0437559630    0.0058211233    0.0007706550    
0.0438874510    0.0060258557    0.0007643978    
0.0440189400    0.0057064345    0.0007633324    
0.0441504290    0.0057623210    0.0007723554    
0.0442819170    0.0056453350    0.0007626183    
0.0444134060    0.0057412671    0.0007677476    
0.0445448950    0.0055079140    0.0007603777    
0.0446763830    0.0054200850    0.0007614390    
0.0448078720    0.0055622891    0.0007615751    
0.0449393610    0.0053085597    0.0007575217    
0.0450708500    0.0055315272    0.0007595853    
0.0452023380    0.0055528048    0.0007575684    
0.0453338270    0.0051750758    0.0007523038    
0.0454653160    0.0049446935    0.0007589096    
0.0455968040    0.0051861165    0.0007559119    
0.0457282930    0.0052182748    0.0007525636    
0.0458597820    0.0050366542    0.0007519880    
