#Sample file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/02025-02046_196_2_av.dat
#Buffer file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01981-02002_196_buffer_1_av.dat
#q(1/A)          Column          Error           
0.0407317230    0.0098750308    0.0008019121    
0.0408632110    0.0097692024    0.0008038654    
0.0409947000    0.0094374258    0.0007963616    
0.0411261890    0.0095251972    0.0008009585    
0.0412576770    0.0095130741    0.0007939167    
0.0413891660    0.0099099129    0.0007962321    
0.0415206550    0.0094867024    0.0007945196    
0.0416521430    0.0095300946    0.0007918389    
0.0417836320    0.0094917682    0.0007932411    
0.0419151210    0.0091241349    0.0007887465    
0.0420466100    0.0095056074    0.0007938101    
0.0421780980    0.0094757347    0.0007895672    
0.0423095870    0.0093251225    0.0007866672    
0.0424410760    0.0091039866    0.0007870650    
0.0425725640    0.0095294672    0.0007844649    
0.0427040530    0.0095168986    0.0007797233    
0.0428355420    0.0092099524    0.0007866106    
0.0429670300    0.0091964138    0.0007808939    
0.0430985190    0.0092109765    0.0007840560    
0.0432300080    0.0089140094    0.0007810240    
0.0433614960    0.0092546684    0.0007748278    
0.0434929850    0.0090379233    0.0007835653    
0.0436244740    0.0090271762    0.0007754166    
0.0437559630    0.0093172796    0.0007813887    
0.0438874510    0.0094086557    0.0007744737    
0.0440189400    0.0088314784    0.0007719197    
0.0441504290    0.0087435913    0.0007809197    
0.0442819170    0.0090407965    0.0007694378    
0.0444134060    0.0088317380    0.0007744870    
0.0445448950    0.0088573422    0.0007690886    
0.0446763830    0.0086798784    0.0007671395    
0.0448078720    0.0087074000    0.0007688068    
0.0449393610    0.0086523509    0.0007663885    
0.0450708500    0.0084616990    0.0007654116    
0.0452023380    0.0082152001    0.0007652456    
0.0453338270    0.0088682671    0.0007609884    
0.0454653160    0.0081832563    0.0007686833    
0.0455968040    0.0085914188    0.0007637102    
0.0457282930    0.0084727249    0.0007624347    
0.0458597820    0.0089473150    0.0007617235    
0.0459912700    0.0085371968    0.0007545941    
0.0461227590    0.0077048707    0.0007567690    
0.0462542480    0.0084904832    0.0007698077    
0.0463857370    0.0082606135    0.0007732061    
0.0465172250    0.0082151973    0.0007779650    
0.0466487140    0.0080682325    0.0007791638    
0.0467802030    0.0079854085    0.0007897245    
0.0469116910    0.0080808503    0.0007852525    
0.0470431800    0.0079542899    0.0007843729    
0.0471746690    0.0078170383    0.0007861169    
0.0473061570    0.0078343973    0.0007885230    
0.0474376460    0.0076616062    0.0007900112    
0.0475691350    0.0076334921    0.0007982338    
0.0477006240    0.0079830527    0.0007902255    
0.0478321120    0.0076736963    0.0007974870    
0.0479636010    0.0076620019    0.0007912417    
0.0480950900    0.0077966213    0.0008002109    
0.0482265780    0.0078368442    0.0008029726    
