#Sample file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01871-01892_154_5_av.dat
#Buffer file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01761-01782_154_buffer_1_av.dat
#q(1/A)          Column          Error           
0.0150914260    0.0567805030    0.0016512209    
0.0152229150    0.0578572927    0.0016101104    
0.0153544040    0.0570981273    0.0016198321    
0.0154858920    0.0577559687    0.0015997104    
0.0156173810    0.0569695262    0.0015969653    
0.0157488700    0.0564857653    0.0015963357    
0.0158803590    0.0567914350    0.0015694663    
0.0160118470    0.0565728571    0.0015689726    
0.0161433360    0.0564646772    0.0015480619    
0.0162748250    0.0566862955    0.0015519707    
0.0164063130    0.0560755994    0.0015383251    
0.0165378020    0.0562345025    0.0015232324    
0.0166692910    0.0557473342    0.0015179825    
0.0168007790    0.0551823486    0.0015105802    
0.0169322680    0.0560188893    0.0015061251    
0.0170637570    0.0554807841    0.0014994105    
0.0171952460    0.0553083755    0.0014876195    
0.0173267340    0.0548011262    0.0014832746    
0.0174582230    0.0551088935    0.0014725141    
0.0175897120    0.0550912503    0.0014640919    
0.0177212000    0.0553996633    0.0014726436    
0.0178526890    0.0543824774    0.0014333798    
0.0179841780    0.0542302523    0.0014517844    
0.0181156660    0.0540510130    0.0014375705    
0.0182471550    0.0540727969    0.0014284003    
0.0183786440    0.0542497522    0.0014286808    
0.0185101330    0.0541783725    0.0014105631    
0.0186416210    0.0541429082    0.0014070661    
0.0187731100    0.0533825411    0.0013997464    
0.0189045990    0.0531290919    0.0013964554    
0.0190360870    0.0528860951    0.0013837760    
0.0191675760    0.0531225423    0.0013757694    
0.0192990650    0.0533494449    0.0013670117    
0.0194305530    0.0526377318    0.0013733241    
0.0195620420    0.0523854295    0.0013556852    
0.0196935310    0.0524988088    0.0013583959    
0.0198250190    0.0522629267    0.0013456896    
0.0199565080    0.0521611843    0.0013326025    
0.0200879970    0.0520329143    0.0013435212    
0.0202194860    0.0513054830    0.0013227258    
0.0203509740    0.0511548059    0.0013311030    
0.0204824630    0.0512390223    0.0013080377    
0.0206139520    0.0511958249    0.0013069460    
0.0207454400    0.0513121368    0.0013127276    
0.0208769290    0.0512058918    0.0012970665    
0.0210084180    0.0508718825    0.0012990498    
0.0211399060    0.0506934982    0.0012921992    
0.0212713950    0.0504324798    0.0012793676    
0.0214028840    0.0501911441    0.0012798390    
0.0215343730    0.0502380138    0.0012732072    
0.0216658610    0.0501457092    0.0012689090    
0.0217973500    0.0495827333    0.0012649441    
0.0219288390    0.0497570152    0.0012446515    
0.0220603270    0.0497209615    0.0012594547    
0.0221918160    0.0495006840    0.0012415282    
0.0223233050    0.0492333203    0.0012423707    
0.0224547930    0.0490029136    0.0012344702    
0.0225862820    0.0490668987    0.0012261067    
0.0227177710    0.0487331526    0.0012337623    
0.0228492600    0.0486186559    0.0012180539    
0.0229807480    0.0480952520    0.0012184528    
0.0231122370    0.0480237860    0.0012077542    
0.0232437260    0.0479802683    0.0011972854    
0.0233752140    0.0480158628    0.0012075685    
0.0235067030    0.0472815742    0.0011946035    
0.0236381920    0.0472185226    0.0011907337    
0.0237696800    0.0467094248    0.0011879926    
0.0239011690    0.0469339781    0.0011816542    
0.0240326580    0.0468828729    0.0011832473    
0.0241641470    0.0466752928    0.0011718945    
0.0242956350    0.0468008790    0.0011677709    
0.0244271240    0.0466141573    0.0011628195    
0.0245586130    0.0468038666    0.0011560312    
