#Sample file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01783-01804_154_1_av.dat
#Buffer file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01761-01782_154_buffer_1_av.dat
#q(1/A)          Column          Error           
0.0257420110    0.0181115179    0.0009589829    
0.0258735000    0.0180955281    0.0009543181    
0.0260049880    0.0177551562    0.0009568987    
0.0261364770    0.0179246997    0.0009531238    
0.0262679660    0.0175997749    0.0009438107    
0.0263994540    0.0175364824    0.0009476278    
0.0265309430    0.0171966210    0.0009380331    
0.0266624320    0.0171540238    0.0009416850    
0.0267939200    0.0175978865    0.0009371817    
0.0269254090    0.0172275765    0.0009313954    
0.0270568980    0.0174136780    0.0009353776    
0.0271883870    0.0171185893    0.0009211775    
0.0273198750    0.0172263368    0.0009309277    
0.0274513640    0.0170660838    0.0009227401    
0.0275828530    0.0168041135    0.0009174741    
0.0277143410    0.0165570176    0.0009144511    
0.0278458300    0.0165908546    0.0009090962    
0.0279773190    0.0171815634    0.0009133090    
0.0281088070    0.0166263839    0.0009045589    
0.0282402960    0.0165577813    0.0009027264    
0.0283717850    0.0164044702    0.0009027052    
0.0285032740    0.0164068783    0.0008992664    
0.0286347620    0.0161114667    0.0008946400    
0.0287662510    0.0162847729    0.0008966701    
0.0288977400    0.0159768471    0.0008842359    
0.0290292280    0.0162274378    0.0008920991    
0.0291607170    0.0158632233    0.0008882751    
0.0292922060    0.0153875073    0.0008810053    
0.0294236940    0.0156843672    0.0008857519    
0.0295551830    0.0157199674    0.0008697006    
0.0296866720    0.0158135635    0.0008766300    
0.0298181610    0.0159493262    0.0008773504    
0.0299496490    0.0154340199    0.0008676751    
0.0300811380    0.0154241027    0.0008690782    
0.0302126270    0.0152383950    0.0008607909    
0.0303441150    0.0150971558    0.0008608071    
0.0304756040    0.0150482717    0.0008647743    
0.0306070930    0.0149353479    0.0008574928    
0.0307385810    0.0149099560    0.0008581938    
0.0308700700    0.0151136266    0.0008518195    
0.0310015590    0.0151291905    0.0008477847    
0.0311330480    0.0146932483    0.0008522933    
0.0312645360    0.0147362809    0.0008449091    
0.0313960250    0.0147498830    0.0008468944    
0.0315275140    0.0143216200    0.0008413775    
0.0316590020    0.0146168156    0.0008382183    
0.0317904910    0.0146097007    0.0008412461    
0.0319219800    0.0141831106    0.0008335233    
0.0320534680    0.0140682452    0.0008350788    
0.0321849570    0.0142698016    0.0008287290    
0.0323164460    0.0140901529    0.0008238347    
0.0324479350    0.0137472910    0.0008297816    
0.0325794230    0.0142262093    0.0008250591    
0.0327109120    0.0141565083    0.0008237867    
